vendor_id,recipient_uei,recipient_duns,recipient_name,recipient_name_raw,recipient_doing_business_as_name,cage_code,recipient_parent_uei,recipient_parent_duns,recipient_parent_name,recipient_country_code,recipient_address_line_1,recipient_address_line_2,recipient_city_name,recipient_county_name,recipient_state_code,recipient_zip_4_code,contracting_officers_determination_of_business_size_code,contracting_officers_determination_of_business_size,source_transaction_count,recipient_name_variant_count,address_variant_count
UEI:KHFXHNZDPU78,KHFXHNZDPU78,,"FACILITIES SUPPORT GROUP, LLC","FACILITIES SUPPORT GROUP, LLC",,7W3L9,KHFXHNZDPU78,,"FACILITIES SUPPORT GROUP, LLC",USA,137 BENNETT DR STE 2,,CARIBOU,AROOSTOOK,ME,047362069,S,SMALL BUSINESS,46,1,1
UEI:K5LMQHTJMVY7,K5LMQHTJMVY7,,FORTIS INDUSTRIES LLC,"FORTIS INDUSTRIES, INC.",,36YL1,K5LMQHTJMVY7,,FORTIS INDUSTRIES LLC,USA,111 MARSHEUTZ AVE SW,,HUNTSVILLE,MADISON,AL,358014528,S,SMALL BUSINESS,51,1,1
UEI:GLWHK5VNPT63,GLWHK5VNPT63,,"YUKON MANAGEMENT, LLC","YUKON MANAGEMENT, LLC",,839N3,GLWHK5VNPT63,,"YUKON MANAGEMENT, LLC",USA,3900 C ST STE 100,,ANCHORAGE,ANCHORAGE,AK,995035962,S,SMALL BUSINESS,4,1,1
UEI:PNQDU5WPRGM1,PNQDU5WPRGM1,,"PACARCTIC, LLC",PACARCTIC LLC,,6TZ21,PNQDU5WPRGM1,,"PACARCTIC, LLC",USA,3800 CENTERPOINT DR STE 700,,ANCHORAGE,ANCHORAGE,AK,995035801,S,SMALL BUSINESS,13,1,2
UEI:LLU4JWAL6828,LLU4JWAL6828,,"TOWN CENTER CONSTRUCTION, L.L.C.","TOWN CENTER CONSTRUCTION, L.L.C.",,3PBP6,LLU4JWAL6828,,"TOWN CENTER CONSTRUCTION, L.L.C.",USA,7868 OLDE 8 RD,,NORTHFIELD,SUMMIT,OH,440672826,S,SMALL BUSINESS,37,1,2
UEI:JQJXT7N7J438,JQJXT7N7J438,,APOLLO SUNGUARD SYSTEMS INC,"APOLLO SUNGUARD SYSTEMS, INC.",,3CUV9,JQJXT7N7J438,,APOLLO SUNGUARD SYSTEMS INC,USA,4487 ASHTON RD,,SARASOTA,SARASOTA,FL,342332284,S,SMALL BUSINESS,3,1,1
UEI:MA29MHGNJWF3,MA29MHGNJWF3,,ARTISAN CONSTRUCTION ENTERPRISES INC,ARTISAN CONSTRUCTION ENTERPRISES INC,,3M1C0,MA29MHGNJWF3,,ARTISAN CONSTRUCTION ENTERPRISES INC,USA,439 W MILL ST,,JAMESTOWN,BOONE,IN,461478806,S,SMALL BUSINESS,77,1,1
UEI:HVS7JBEK3KG7,HVS7JBEK3KG7,,"CORPORATE SOURCE, INC THE","CORPORATE SOURCE, INC., THE",,1H0H8,HVS7JBEK3KG7,,"CORPORATE SOURCE, INC THE",USA,1225 FRANKLIN AVE STE 335,,GARDEN CITY,NASSAU,NY,115301659,O,OTHER THAN SMALL BUSINESS,98,1,2
UEI:PU5SQJJPE383,PU5SQJJPE383,,"NVS CORPORATE SERVICES, INC","NVS CORPORATE SERVICES, INC.",,4MBD4,S731P2UK9N11,,NVS CORPORATE SERVICES INC,USA,800 WILDROSE LN,,BROWNSVILLE,CAMERON,TX,785208815,S,SMALL BUSINESS,5,1,1
UEI:S77NXBKWNMF1,S77NXBKWNMF1,,MCC INDUSTRIES INC,MCC INDUSTRIES INC,MCC INDUSTRIES INC,7N3U2,S77NXBKWNMF1,,MCC INDUSTRIES INC,USA,3648 SNELLING AVE,,MINNEAPOLIS,HENNEPIN,MN,554062634,S,SMALL BUSINESS,3,1,1
